* SLURM BATCH JOB 'test' STARTING *
* Activating environment miniproject *
Running on GPU: True
Training for drop_rate=0.3, learn_mask=False
Epopch: 0, Train Loss: 0.14561513671597898, Val Loss: 0.11817215480234312, Train PSNR: 26.952620584204777, Val PSNR: 26.661280507626742 
Epopch: 1, Train Loss: 0.1055137273974468, Val Loss: 0.10944893624147643, Train PSNR: 28.175321789687743, Val PSNR: 27.031569273575492 
Epopch: 2, Train Loss: 0.09558982764755486, Val Loss: 0.09721443324309328, Train PSNR: 28.602536461570047, Val PSNR: 27.548336153445035 
Epopch: 3, Train Loss: 0.09065629076748503, Val Loss: 0.10176513951433741, Train PSNR: 28.865909449113115, Val PSNR: 27.353977700938348 
Epopch: 4, Train Loss: 0.08697865734474843, Val Loss: 0.10340700719667517, Train PSNR: 29.02649804171265, Val PSNR: 27.296301427094832 
Epopch: 5, Train Loss: 0.08656116311788833, Val Loss: 0.08907692101986511, Train PSNR: 29.014468435588174, Val PSNR: 27.915810170380965 
Epopch: 6, Train Loss: 0.0839169444934271, Val Loss: 0.09317904799852682, Train PSNR: 29.17416566864119, Val PSNR: 27.72603582299274 
Epopch: 7, Train Loss: 0.08160897307912417, Val Loss: 0.08859913771891076, Train PSNR: 29.261413679572875, Val PSNR: 27.933994376141094 
Epopch: 8, Train Loss: 0.08100772625471972, Val Loss: 0.08406006536729958, Train PSNR: 29.31596874943811, Val PSNR: 28.15679977251136 
Epopch: 9, Train Loss: 0.07980124483054335, Val Loss: 0.09791208714570689, Train PSNR: 29.39768278255836, Val PSNR: 27.543903184973676 
* SLURM BATCH JOB 'test' DONE *
