* SLURM BATCH JOB 'test' STARTING *
* Activating environment miniproject *
Running on GPU: True
Training for drop_rate=0.3, learn_mask=True
Epopch: 0, Train Loss: 0.1450121060048066, Val Loss: 0.12079090600752312, Train PSNR: 26.967610224206922, Val PSNR: 26.568986478059188 
Epopch: 1, Train Loss: 0.10603032190828521, Val Loss: 0.10567178641972334, Train PSNR: 28.156963418624755, Val PSNR: 27.166393197101094 
Epopch: 2, Train Loss: 0.09368311723542021, Val Loss: 0.09683407300516315, Train PSNR: 28.690994414141866, Val PSNR: 27.570449497388758 
Epopch: 3, Train Loss: 0.08873693775750002, Val Loss: 0.10471079004523547, Train PSNR: 28.9558773874825, Val PSNR: 27.22965671705163 
Epopch: 4, Train Loss: 0.08474769170628593, Val Loss: 0.09367248278273188, Train PSNR: 29.142196176790122, Val PSNR: 27.701366922129754 
Epopch: 5, Train Loss: 0.08235916564341793, Val Loss: 0.08645467954161375, Train PSNR: 29.231781225347135, Val PSNR: 28.032333747200344 
Epopch: 6, Train Loss: 0.08116390779014286, Val Loss: 0.09080403468207172, Train PSNR: 29.321858304005087, Val PSNR: 27.836002474245817 
Epopch: 7, Train Loss: 0.07880351761028051, Val Loss: 0.08690577397203963, Train PSNR: 29.413791066072065, Val PSNR: 28.053155650263246 
Epopch: 8, Train Loss: 0.07827428017578959, Val Loss: 0.0802659373730421, Train PSNR: 29.466812844929404, Val PSNR: 28.34200900533925 
Epopch: 9, Train Loss: 0.07740360477422681, Val Loss: 0.09035687723561474, Train PSNR: 29.532755110974417, Val PSNR: 27.84346281963846 
* SLURM BATCH JOB 'test' DONE *
