* SLURM BATCH JOB 'test' STARTING *
* Activating environment miniproject *
Running on GPU: True
Training for drop_rate=0.2, learn_mask=False
Epopch: 0, Train Loss: 0.125719664731975, Val Loss: 0.11359880249137463, Train PSNR: 27.609340507498544, Val PSNR: 26.846034796341605 
Epopch: 1, Train Loss: 0.08880310596081549, Val Loss: 0.09697085829532665, Train PSNR: 28.927637464569408, Val PSNR: 27.627177362856656 
Epopch: 2, Train Loss: 0.08157017018530256, Val Loss: 0.08033607916339584, Train PSNR: 29.295548854955182, Val PSNR: 28.378515948419984 
Epopch: 3, Train Loss: 0.07644784593283788, Val Loss: 0.0821252261976833, Train PSNR: 29.60823355390507, Val PSNR: 28.265600204467773 
Epopch: 4, Train Loss: 0.07338368284791467, Val Loss: 0.08304940698587376, Train PSNR: 29.76612650538753, Val PSNR: 28.27679513848346 
Epopch: 5, Train Loss: 0.07193684493061862, Val Loss: 0.07570541982093583, Train PSNR: 29.819096335881873, Val PSNR: 28.65860010230023 
Epopch: 6, Train Loss: 0.07074498178563815, Val Loss: 0.07800687217841977, Train PSNR: 29.91671190382559, Val PSNR: 28.540918267291524 
Epopch: 7, Train Loss: 0.07100748346198964, Val Loss: 0.07851317427728487, Train PSNR: 29.88706214298999, Val PSNR: 28.506697447403617 
Epopch: 8, Train Loss: 0.06793654146330952, Val Loss: 0.0725293303637401, Train PSNR: 30.080043250589842, Val PSNR: 28.80763157554295 
Epopch: 9, Train Loss: 0.06788651615604158, Val Loss: 0.08020338537576406, Train PSNR: 30.107360752048645, Val PSNR: 28.41057644719663 
* SLURM BATCH JOB 'test' DONE *
