* SLURM BATCH JOB 'test' STARTING *
* Activating environment miniproject *
Running on GPU: True
Training for drop_rate=0.6, learn_mask=True
Epopch: 0, Train Loss: 0.4254433676617604, Val Loss: 0.36163629397102026, Train PSNR: 22.200760111572826, Val PSNR: 21.67017812314241 
Epopch: 1, Train Loss: 0.3128900370197274, Val Loss: 0.24078288641960724, Train PSNR: 23.447792114679228, Val PSNR: 23.47602524964706 
Epopch: 2, Train Loss: 0.20694889606622888, Val Loss: 0.20855554225652115, Train PSNR: 25.238630281630538, Val PSNR: 24.118444567141324 
Epopch: 3, Train Loss: 0.19454201009934735, Val Loss: 0.20522738831198734, Train PSNR: 25.541160511065133, Val PSNR: 24.185682089432426 
Epopch: 4, Train Loss: 0.18620729652180906, Val Loss: 0.19503221336914145, Train PSNR: 25.71615657652755, Val PSNR: 24.408619673355766 
Epopch: 5, Train Loss: 0.17914836551089555, Val Loss: 0.19929235930676045, Train PSNR: 25.84754386568234, Val PSNR: 24.33388166842253 
Epopch: 6, Train Loss: 0.1744881130077622, Val Loss: 0.17184290597620216, Train PSNR: 25.985685238766862, Val PSNR: 24.95979462499204 
Epopch: 7, Train Loss: 0.16289767273139075, Val Loss: 0.1782610630211623, Train PSNR: 26.258490855455126, Val PSNR: 24.826466477435567 
Epopch: 8, Train Loss: 0.1586022967573414, Val Loss: 0.1716016211911388, Train PSNR: 26.39712956365974, Val PSNR: 24.973834286565367 
Epopch: 9, Train Loss: 0.15712641599674906, Val Loss: 0.17464594089466592, Train PSNR: 26.455897738387588, Val PSNR: 24.92096121414848 
* SLURM BATCH JOB 'test' DONE *
