* SLURM BATCH JOB 'test' STARTING *
* Activating environment miniproject *
Running on GPU: True
Training for drop_rate=0.4, learn_mask=True
Epopch: 0, Train Loss: 0.195800533606076, Val Loss: 0.16514412621441094, Train PSNR: 25.679873891200515, Val PSNR: 25.147429797960363 
Epopch: 1, Train Loss: 0.13891599330755316, Val Loss: 0.14020777866244316, Train PSNR: 26.989950302966857, Val PSNR: 25.914463084676992 
Epopch: 2, Train Loss: 0.12645783890103032, Val Loss: 0.13203834110628004, Train PSNR: 27.386652758810133, Val PSNR: 26.195312582928203 
Epopch: 3, Train Loss: 0.11877690378246428, Val Loss: 0.13692438391887624, Train PSNR: 27.689853154611534, Val PSNR: 26.030877154806387 
Epopch: 4, Train Loss: 0.11650623963294836, Val Loss: 0.12764038744827974, Train PSNR: 27.765147629486542, Val PSNR: 26.332141420115594 
Epopch: 5, Train Loss: 0.11271278117756575, Val Loss: 0.1226699847889983, Train PSNR: 27.870109553715714, Val PSNR: 26.499932828156844 
Epopch: 6, Train Loss: 0.11101587674868807, Val Loss: 0.1338408177961474, Train PSNR: 27.95765631382704, Val PSNR: 26.13179588317871 
Epopch: 7, Train Loss: 0.1076220815489015, Val Loss: 0.12504467724458032, Train PSNR: 28.060061363685527, Val PSNR: 26.459700045378312 
Epopch: 8, Train Loss: 0.10676913857631497, Val Loss: 0.1138549076150293, Train PSNR: 28.120418195208693, Val PSNR: 26.837952613830566 
Epopch: 9, Train Loss: 0.1046301311072738, Val Loss: 0.12274935517622076, Train PSNR: 28.22285333903393, Val PSNR: 26.49659525829813 
* SLURM BATCH JOB 'test' DONE *
