* SLURM BATCH JOB 'test' STARTING *
* Activating environment miniproject *
Running on GPU: True
Training for drop_rate=0.1, learn_mask=True
Epopch: 0, Train Loss: 0.10984108504872465, Val Loss: 0.08779932979656302, Train PSNR: 28.22372868475349, Val PSNR: 28.003948294598125 
Epopch: 1, Train Loss: 0.07012708576008146, Val Loss: 0.06026995983784613, Train PSNR: 29.996305281328524, Val PSNR: 29.6232096215953 
Epopch: 2, Train Loss: 0.05450415504952706, Val Loss: 0.0592356492643771, Train PSNR: 31.056667123757244, Val PSNR: 29.732016397559125 
Epopch: 3, Train Loss: 0.05193885308192021, Val Loss: 0.06333069462815057, Train PSNR: 31.291043552622558, Val PSNR: 29.437039375305176 
Epopch: 4, Train Loss: 0.05117596604435847, Val Loss: 0.05822872070838576, Train PSNR: 31.347097739251492, Val PSNR: 29.768419680388078 
Epopch: 5, Train Loss: 0.05303007222377664, Val Loss: 0.05727048606976219, Train PSNR: 31.212988160970706, Val PSNR: 29.837514462678328 
Epopch: 6, Train Loss: 0.05044787627472291, Val Loss: 0.05656149554187837, Train PSNR: 31.410918978744874, Val PSNR: 29.939642491547957 
Epopch: 7, Train Loss: 0.04870104092260087, Val Loss: 0.053997167345622314, Train PSNR: 31.51939252934604, Val PSNR: 30.10561466217041 
Epopch: 8, Train Loss: 0.0481184823363505, Val Loss: 0.06899491389808447, Train PSNR: 31.595729033335168, Val PSNR: 29.14077555614969 
Epopch: 9, Train Loss: 0.047427123639694015, Val Loss: 0.054430903097533664, Train PSNR: 31.669015998533048, Val PSNR: 30.055950537971828 
* SLURM BATCH JOB 'test' DONE *
